2025-02-16 01:01:13,769 | INFO | main | Starting enhanced translation bot...
2025-02-16 01:02:36,307 | INFO | main | Starting enhanced translation bot...
2025-02-16 01:04:48,288 | INFO | main | Starting enhanced translation bot...
2025-02-16 01:05:14,777 | ERROR | main | Database error: attempt to write a readonly database
2025-02-16 01:05:42,469 | ERROR | main | Database error: attempt to write a readonly database
2025-02-16 01:05:50,621 | ERROR | main | Database error: attempt to write a readonly database
2025-02-16 01:05:58,608 | ERROR | main | Database error: attempt to write a readonly database
2025-02-16 01:06:10,124 | ERROR | main | Database error: attempt to write a readonly database
2025-02-16 01:07:00,566 | INFO | main | Starting enhanced translation bot...
2025-02-16 01:09:25,967 | INFO | main | Starting enhanced translation bot...
2025-02-16 01:09:29,479 | INFO | main | Starting enhanced translation bot...
2025-02-16 04:25:31,100 | INFO | main | Starting enhanced translation bot...
